Date;VIX
10/05/2007;27.09
11/05/2007;26.41
14/05/2007;27.23
15/05/2007;27.89
16/05/2007;27.07
17/05/2007;24.86
18/05/2007;24.71
21/05/2007;24.67
22/05/2007;26.03
23/05/2007;26.35
24/05/2007;26.63
25/05/2007;25.81
28/05/2007;#N/A
29/05/2007;27.83
30/05/2007;28.61
31/05/2007;28.44
01/06/2007;27.39
04/06/2007;27.36
05/06/2007;26.7
06/06/2007;25.94
07/06/2007;26.11
08/06/2007;26.51
11/06/2007;25.99
12/06/2007;25.81
13/06/2007;26.07
14/06/2007;26.35
15/06/2007;26.41
18/06/2007;27.15
19/06/2007;26.72
20/06/2007;27.14
21/06/2007;28
22/06/2007;28.16
25/06/2007;28.01
26/06/2007;27.79
27/06/2007;28.06
28/06/2007;27.95
29/06/2007;27.44
02/07/2007;27.52
03/07/2007;27.45
04/07/2007;#N/A
05/07/2007;27.33
06/07/2007;27.4
09/07/2007;28.25
10/07/2007;27.37
11/07/2007;27.69
12/07/2007;27.35
13/07/2007;27.06
16/07/2007;28
17/07/2007;27.46
18/07/2007;27.91
19/07/2007;27.4
20/07/2007;26.69
23/07/2007;27.09
24/07/2007;27.42
25/07/2007;26.84
26/07/2007;27.79
27/07/2007;27.25
30/07/2007;30.16
31/07/2007;30.69
01/08/2007;29.73
02/08/2007;29.68
03/08/2007;29.32
06/08/2007;32.49
07/08/2007;29.48
08/08/2007;27.07
09/08/2007;29.73
10/08/2007;30.87
13/08/2007;30.82
14/08/2007;30.23
15/08/2007;31.14
16/08/2007;37.02
17/08/2007;35.46
20/08/2007;34.16
21/08/2007;34.33
22/08/2007;31.93
23/08/2007;29.85
24/08/2007;28.67
27/08/2007;28.98
28/08/2007;28.81
29/08/2007;28.88
30/08/2007;28.99
31/08/2007;28.86
03/09/2007;#N/A
04/09/2007;29.49
05/09/2007;30.29
06/09/2007;31.11
07/09/2007;31.39
10/09/2007;30.82
11/09/2007;31.3
12/09/2007;30.25
13/09/2007;30.37
14/09/2007;29.37
17/09/2007;29.72
18/09/2007;29.77
19/09/2007;28.93
20/09/2007;30.57
21/09/2007;30.3
24/09/2007;29.19
25/09/2007;28.79
26/09/2007;28.4
27/09/2007;27.77
28/09/2007;29.32
01/10/2007;30.53
02/10/2007;30.74
03/10/2007;30.62
04/10/2007;30.12
05/10/2007;29.57
08/10/2007;31.07
09/10/2007;30.59
10/10/2007;30.24
11/10/2007;29.2
12/10/2007;28.61
15/10/2007;28.4
16/10/2007;29.8
17/10/2007;31.66
18/10/2007;32.04
19/10/2007;32.39
22/10/2007;32.27
23/10/2007;32.15
24/10/2007;31.34
25/10/2007;31.11
26/10/2007;32.74
29/10/2007;32.61
30/10/2007;34.65
31/10/2007;37.46
01/11/2007;39.71
02/11/2007;39.99
