Date;VIX
16/03/2011;32.86
17/03/2011;30.3
18/03/2011;29.59
21/03/2011;26.45
22/03/2011;25.5
23/03/2011;25
24/03/2011;23.68
25/03/2011;24.1
28/03/2011;24.26
29/03/2011;24.16
30/03/2011;22.9
31/03/2011;23.08
01/04/2011;22.14
04/04/2011;22.91
05/04/2011;22.95
06/04/2011;23.49
07/04/2011;23.81
08/04/2011;24.05
11/04/2011;23.73
12/04/2011;24.13
13/04/2011;22.66
14/04/2011;21.85
15/04/2011;21.07
18/04/2011;23.02
19/04/2011;21.3
20/04/2011;20.59
21/04/2011;21.14
22/04/2011;#N/A
25/04/2011;23.13
26/04/2011;22.35
27/04/2011;22.02
28/04/2011;21.95
29/04/2011;21.85
02/05/2011;23.13
03/05/2011;25.56
04/05/2011;25.5
05/05/2011;26.11
06/05/2011;25.21
09/05/2011;24.37
10/05/2011;23.32
11/05/2011;24.84
12/05/2011;24.4
13/05/2011;25.35
16/05/2011;25.27
17/05/2011;24.95
18/05/2011;23.5
19/05/2011;23.31
20/05/2011;23.28
23/05/2011;25.27
24/05/2011;24.46
25/05/2011;23.16
26/05/2011;22.36
27/05/2011;21.87
30/05/2011;#N/A
31/05/2011;22.29
01/06/2011;25.17
02/06/2011;24.75
03/06/2011;24.78
06/06/2011;26.13
07/06/2011;25.62
08/06/2011;26.09
09/06/2011;24.27
10/06/2011;26.01
13/06/2011;26.49
14/06/2011;24.77
15/06/2011;28.29
16/06/2011;31.03
17/06/2011;29.65
20/06/2011;28.21
21/06/2011;26.29
22/06/2011;25.36
23/06/2011;26.95
24/06/2011;27.51
27/06/2011;27.2
28/06/2011;26.17
29/06/2011;23.86
30/06/2011;22.47
01/07/2011;21.73
04/07/2011;#N/A
05/07/2011;22.66
06/07/2011;22.97
07/07/2011;22.11
08/07/2011;23.34
11/07/2011;25.78
12/07/2011;25.41
13/07/2011;24.46
14/07/2011;26.36
15/07/2011;25.06
18/07/2011;25.14
19/07/2011;23.86
20/07/2011;24.15
21/07/2011;24.21
22/07/2011;23.11
25/07/2011;24.25
26/07/2011;24.54
27/07/2011;28.01
28/07/2011;28.81
29/07/2011;29.96
01/08/2011;28
02/08/2011;28.86
03/08/2011;28.24
04/08/2011;37.9
05/08/2011;42.26
08/08/2011;57.28
09/08/2011;49.54
10/08/2011;56.93
11/08/2011;48.75
12/08/2011;46.07
15/08/2011;39.3
16/08/2011;38.55
17/08/2011;35.57
18/08/2011;45.19
19/08/2011;48.23
22/08/2011;48.82
23/08/2011;41.91
24/08/2011;44.2
25/08/2011;49.99
26/08/2011;44.56
29/08/2011;41.06
30/08/2011;40.98
31/08/2011;38.94
01/09/2011;39.38
02/09/2011;41.41
05/09/2011;#N/A
06/09/2011;45.1
07/09/2011;40.41
08/09/2011;42.66
09/09/2011;50.05
12/09/2011;50.7
13/09/2011;47.65
14/09/2011;45.13
15/09/2011;41.64
16/09/2011;37.72
19/09/2011;43.83
20/09/2011;43.16
21/09/2011;46.73
22/09/2011;58.53
23/09/2011;59.28
26/09/2011;57.18
27/09/2011;53.18
28/09/2011;57.51
29/09/2011;55.11
30/09/2011;61.4
03/10/2011;64.1
04/10/2011;59.46
05/10/2011;52.26
06/10/2011;48.35
07/10/2011;50.82
10/10/2011;46.53
11/10/2011;45.37
12/10/2011;42.51
13/10/2011;42.8
14/10/2011;41.78
17/10/2011;46.72
18/10/2011;45.27
19/10/2011;47.2
20/10/2011;48.74
21/10/2011;44.87
24/10/2011;40.67
25/10/2011;45.39
26/10/2011;43.54
27/10/2011;38.52
28/10/2011;37.35
31/10/2011;41.67
01/11/2011;47.36
02/11/2011;44.63
03/11/2011;43.64
04/11/2011;43.83
07/11/2011;43.22
08/11/2011;40.75
09/11/2011;48.6
10/11/2011;45.81
11/11/2011;42.94
14/11/2011;44.39
15/11/2011;43.88
16/11/2011;47.16
17/11/2011;49.11
18/11/2011;44.88
21/11/2011;46.66
22/11/2011;44.63
23/11/2011;46.78
24/11/2011;#N/A
25/11/2011;60.99
28/11/2011;45.27
29/11/2011;42.68
30/11/2011;39.3
01/12/2011;39.95
02/12/2011;39.84
05/12/2011;39.23
06/12/2011;40.83
07/12/2011;40.9
08/12/2011;43.36
09/12/2011;38.66
12/12/2011;38.61
13/12/2011;36.62
14/12/2011;37.1
15/12/2011;34.48
16/12/2011;33.49
19/12/2011;34.24
20/12/2011;32.39
21/12/2011;31.32
22/12/2011;29.72
23/12/2011;29.83
26/12/2011;#N/A
27/12/2011;32.16
28/12/2011;33.87
29/12/2011;32.71
30/12/2011;32.74
02/01/2012;#N/A
03/01/2012;32.73
04/01/2012;31.79
05/01/2012;31.13
06/01/2012;31.51
09/01/2012;30.09
10/01/2012;29.49
11/01/2012;29.82
12/01/2012;30.01
13/01/2012;31.13
16/01/2012;#N/A
17/01/2012;30.19
18/01/2012;27.98
19/01/2012;27.79
20/01/2012;26.07
23/01/2012;26.95
24/01/2012;26.92
25/01/2012;26.91
26/01/2012;27.66
27/01/2012;27.47
30/01/2012;28.94
31/01/2012;27.97
01/02/2012;26.22
02/02/2012;26.24
03/02/2012;26.29
06/02/2012;27.58
07/02/2012;28.19
08/02/2012;28.33
09/02/2012;27.94
10/02/2012;30.05
13/02/2012;28.9
14/02/2012;29.69
15/02/2012;31.01
16/02/2012;28.81
17/02/2012;29.41
20/02/2012;#N/A
21/02/2012;28.37
22/02/2012;26.86
23/02/2012;25.73
24/02/2012;25.14
27/02/2012;27.21
28/02/2012;26.48
29/02/2012;27.1
01/03/2012;25.79
02/03/2012;25.73
05/03/2012;26.38
06/03/2012;29.09
07/03/2012;28.29
08/03/2012;26.7
09/03/2012;27.05
12/03/2012;26.01
13/03/2012;24.71
14/03/2012;26.93
15/03/2012;24.84
16/03/2012;23.98
19/03/2012;23.92
20/03/2012;25.14
21/03/2012;24.5
22/03/2012;25.96
23/03/2012;25.1
26/03/2012;24.85
27/03/2012;25.63
28/03/2012;26.91
29/03/2012;26.57
30/03/2012;26.09
02/04/2012;25.24
03/04/2012;25.51
04/04/2012;26.59
05/04/2012;26.33
06/04/2012;#N/A
09/04/2012;27.96
10/04/2012;30.31
11/04/2012;29.28
12/04/2012;27.23
13/04/2012;28.69
16/04/2012;28.67
17/04/2012;27.24
18/04/2012;27.39
19/04/2012;27.35
20/04/2012;25.31
23/04/2012;27.19
24/04/2012;26.24
25/04/2012;25.59
26/04/2012;24.18
27/04/2012;23.52
30/04/2012;24.82
01/05/2012;24.46
02/05/2012;24.43
03/05/2012;25.23
04/05/2012;26.6
07/05/2012;26.68
08/05/2012;28.02
09/05/2012;29.51
10/05/2012;28.53
11/05/2012;29.11
14/05/2012;31.37
15/05/2012;33.09
16/05/2012;34.85
17/05/2012;36.17
18/05/2012;37.42
21/05/2012;33.27
22/05/2012;33.56
23/05/2012;33.75
24/05/2012;33.66
25/05/2012;33.84
28/05/2012;#N/A
29/05/2012;32.15
30/05/2012;33.75
31/05/2012;33.96
01/06/2012;36.57
04/06/2012;36.33
05/06/2012;34.09
06/06/2012;32.42
07/06/2012;32.12
08/06/2012;32.21
11/06/2012;34.41
12/06/2012;32.6
13/06/2012;35.17
14/06/2012;34.49
15/06/2012;31.59
18/06/2012;28.52
19/06/2012;26.93
20/06/2012;25.65
21/06/2012;28.75
22/06/2012;27.47
25/06/2012;29.69
26/06/2012;29.22
27/06/2012;28.42
28/06/2012;28.65
29/06/2012;25.79
02/07/2012;26.39
03/07/2012;26.39
04/07/2012;#N/A
05/07/2012;26.27
06/07/2012;26.9
09/07/2012;27.32
10/07/2012;27.89
11/07/2012;26.62
12/07/2012;28.08
13/07/2012;26.34
16/07/2012;26.64
17/07/2012;24.7
18/07/2012;24.11
19/07/2012;23.92
20/07/2012;24.65
23/07/2012;28.29
24/07/2012;29.24
25/07/2012;28.27
26/07/2012;25.99
27/07/2012;25.27
30/07/2012;26.22
31/07/2012;26.96
01/08/2012;27.48
02/08/2012;27.09
03/08/2012;23.9
06/08/2012;24.59
07/08/2012;24.29
08/08/2012;23.72
09/08/2012;23.55
10/08/2012;22.91
13/08/2012;22.23
14/08/2012;22.54
15/08/2012;21.62
16/08/2012;21.62
17/08/2012;20.79
20/08/2012;21.17
21/08/2012;22.18
22/08/2012;21.64
23/08/2012;22.64
24/08/2012;22.48
27/08/2012;24.04
28/08/2012;24.19
29/08/2012;25
30/08/2012;25.95
31/08/2012;25.27
03/09/2012;#N/A
04/09/2012;26.68
05/09/2012;26.28
06/09/2012;24.02
07/09/2012;22.29
10/09/2012;23.62
11/09/2012;23.73
12/09/2012;23.58
13/09/2012;22.55
14/09/2012;22.87
17/09/2012;23.2
18/09/2012;22.16
19/09/2012;22.18
20/09/2012;21.37
21/09/2012;20.24
24/09/2012;20.37
25/09/2012;22.84
26/09/2012;23.61
27/09/2012;21.81
28/09/2012;22.71
01/10/2012;23.31
02/10/2012;22.46
03/10/2012;22.18
04/10/2012;21.77
05/10/2012;21.17
08/10/2012;21.78
09/10/2012;23.2
10/10/2012;23.41
11/10/2012;22.27
12/10/2012;22.29
15/10/2012;21.48
16/10/2012;20.53
17/10/2012;20.03
18/10/2012;20.31
19/10/2012;22.35
22/10/2012;22.52
23/10/2012;24.8
24/10/2012;24.98
25/10/2012;24.2
26/10/2012;24.12
29/10/2012;#N/A
30/10/2012;#N/A
31/10/2012;24.32
01/11/2012;22.8
02/11/2012;22.61
05/11/2012;23.28
06/11/2012;22.84
07/11/2012;23.57
08/11/2012;24.95
09/11/2012;24.56
12/11/2012;23.37
13/11/2012;23.43
14/11/2012;23.8
15/11/2012;24.31
16/11/2012;23.63
19/11/2012;20.84
20/11/2012;21.31
21/11/2012;20.88
22/11/2012;#N/A
23/11/2012;20.25
26/11/2012;21.44
27/11/2012;21.74
28/11/2012;22.16
29/11/2012;21.83
30/11/2012;22.49
03/12/2012;22.76
04/12/2012;22.8
05/12/2012;22
06/12/2012;21.8
07/12/2012;21.06
10/12/2012;21.43
11/12/2012;21.12
12/12/2012;21.14
13/12/2012;21.22
14/12/2012;21
17/12/2012;20.67
18/12/2012;20.04
19/12/2012;20.28
20/12/2012;20.03
21/12/2012;20.53
24/12/2012;20.53
25/12/2012;#N/A
26/12/2012;21.71
27/12/2012;21.26
28/12/2012;23.04
31/12/2012;21.7
01/01/2013;#N/A
02/01/2013;19.74
03/01/2013;18.78
04/01/2013;17.82
07/01/2013;18.53
08/01/2013;18.23
09/01/2013;17.82
10/01/2013;17.45
11/01/2013;18.16
14/01/2013;16.54
15/01/2013;17.25
16/01/2013;17.24
17/01/2013;17
18/01/2013;15.85
21/01/2013;#N/A
22/01/2013;16.24
23/01/2013;15.69
24/01/2013;16.21
25/01/2013;16.46
28/01/2013;18.19
29/01/2013;18.05
30/01/2013;18.68
31/01/2013;19.24
01/02/2013;18.14
04/02/2013;19.95
05/02/2013;18.4
06/02/2013;18.75
07/02/2013;18.72
08/02/2013;17.85
11/02/2013;17.7
12/02/2013;16.62
13/02/2013;15.84
14/02/2013;15.84
15/02/2013;15.33
18/02/2013;#N/A
19/02/2013;15
20/02/2013;16.47
21/02/2013;18.2
22/02/2013;17.67
25/02/2013;21.86
26/02/2013;20.25
27/02/2013;18.79
28/02/2013;18.42
01/03/2013;18.72
04/03/2013;18.91
05/03/2013;17.63
06/03/2013;17.37
07/03/2013;16.52
08/03/2013;15.26
11/03/2013;15.4
12/03/2013;15.77
13/03/2013;16.6
14/03/2013;16.11
15/03/2013;15.97
18/03/2013;18.53
19/03/2013;19.1
20/03/2013;18.09
21/03/2013;20.15
22/03/2013;19.08
25/03/2013;18.69
26/03/2013;16.86
27/03/2013;16.63
28/03/2013;16.72
29/03/2013;#N/A
01/04/2013;18.18
02/04/2013;17.77
03/04/2013;18.36
04/04/2013;19.2
05/04/2013;19.15
08/04/2013;18.75
09/04/2013;18.02
10/04/2013;17.67
11/04/2013;17.23
12/04/2013;17.92
15/04/2013;22
16/04/2013;20.09
17/04/2013;22.46
18/04/2013;23.2
19/04/2013;20.71
22/04/2013;19.68
23/04/2013;18.82
24/04/2013;18.79
25/04/2013;18.61
26/04/2013;18.88
29/04/2013;18.93
30/04/2013;18.53
01/05/2013;20.27
02/05/2013;19.29
03/05/2013;18.19
06/05/2013;18
07/05/2013;17.77
08/05/2013;18.08
09/05/2013;18.54
10/05/2013;19.59
13/05/2013;19.36
14/05/2013;19.31
15/05/2013;19.41
16/05/2013;18.87
17/05/2013;18.32
20/05/2013;18
21/05/2013;17.49
22/05/2013;18.92
23/05/2013;20.41
24/05/2013;21.47
27/05/2013;#N/A
28/05/2013;20.16
29/05/2013;21.78
30/05/2013;21.47
31/05/2013;23.68
03/06/2013;22.79
04/06/2013;23.34
05/06/2013;24.99
06/06/2013;24.83
07/06/2013;24.32
10/06/2013;23.76
11/06/2013;26.28
12/06/2013;27.98
13/06/2013;26.05
14/06/2013;26.97
17/06/2013;27.29
18/06/2013;26.19
19/06/2013;26.5
20/06/2013;35.48
21/06/2013;33.61
24/06/2013;38
25/06/2013;32.35
26/06/2013;28.52
27/06/2013;28.29
28/06/2013;27.61
01/07/2013;25.64
02/07/2013;30.18
03/07/2013;30.77
04/07/2013;#N/A
05/07/2013;29.56
08/07/2013;28.79
09/07/2013;25.69
10/07/2013;27
11/07/2013;25.6
12/07/2013;27.29
15/07/2013;26.21
16/07/2013;26.98
17/07/2013;25.98
18/07/2013;26.33
19/07/2013;24.7
22/07/2013;23.19
23/07/2013;22.09
24/07/2013;22.43
25/07/2013;21.51
26/07/2013;21.3
29/07/2013;23.08
30/07/2013;23.21
31/07/2013;23.26
01/08/2013;22.04
02/08/2013;20.84
05/08/2013;20.45
06/08/2013;22.12
07/08/2013;23.35
08/08/2013;23.06
09/08/2013;22.81
12/08/2013;21.74
13/08/2013;21.43
14/08/2013;21.92
15/08/2013;23.1
16/08/2013;23.62
19/08/2013;24.57
20/08/2013;24.45
21/08/2013;26.02
22/08/2013;24.62
23/08/2013;23.24
26/08/2013;25.25
27/08/2013;28.55
28/08/2013;28.21
29/08/2013;28.01
30/08/2013;28.14
02/09/2013;#N/A
03/09/2013;28.36
04/09/2013;26.68
05/09/2013;25.89
06/09/2013;26.22
09/09/2013;26.29
10/09/2013;25.89
11/09/2013;25.05
12/09/2013;25.16
13/09/2013;24.29
16/09/2013;24.35
17/09/2013;24.26
18/09/2013;22.87
19/09/2013;21.81
20/09/2013;23.55
23/09/2013;23.09
24/09/2013;22.36
25/09/2013;22.49
26/09/2013;22.42
27/09/2013;23.44
30/09/2013;25.73
01/10/2013;24.44
02/10/2013;24.71
03/10/2013;25.41
04/10/2013;24.41
07/10/2013;27.11
08/10/2013;28.75
09/10/2013;28.08
10/10/2013;24.97
11/10/2013;23.73
14/10/2013;24.2
15/10/2013;25.61
16/10/2013;23.25
17/10/2013;21.75
18/10/2013;19.98
21/10/2013;18.86
22/10/2013;19.26
23/10/2013;21.58
24/10/2013;21.5
25/10/2013;21.01
28/10/2013;20.86
29/10/2013;20.82
30/10/2013;21.59
31/10/2013;21.83
01/11/2013;21.67
04/11/2013;21.91
