Date;VIX
16/03/2011;32.16
17/03/2011;29.36
18/03/2011;28.56
21/03/2011;26.21
22/03/2011;25.71
23/03/2011;24.96
24/03/2011;24.49
25/03/2011;24.01
28/03/2011;24.74
29/03/2011;24.56
30/03/2011;24.08
31/03/2011;24.45
01/04/2011;23.81
04/04/2011;24.05
05/04/2011;23.37
06/04/2011;23.92
07/04/2011;23.77
08/04/2011;24.84
11/04/2011;23.99
12/04/2011;24.94
13/04/2011;25.12
14/04/2011;23.59
15/04/2011;23.16
18/04/2011;24.12
19/04/2011;22.27
20/04/2011;21.16
21/04/2011;21.28
22/04/2011;#N/A
25/04/2011;23.44
26/04/2011;22.81
27/04/2011;23.16
28/04/2011;23.13
29/04/2011;22.88
02/05/2011;24.96
03/05/2011;26.72
04/05/2011;26.95
05/05/2011;30.34
06/05/2011;28.73
09/05/2011;26.7
10/05/2011;25.47
11/05/2011;27.96
12/05/2011;28.29
13/05/2011;28.45
16/05/2011;29.23
17/05/2011;28.37
18/05/2011;27.04
19/05/2011;26.68
20/05/2011;26.43
23/05/2011;27.53
24/05/2011;26.03
25/05/2011;24.93
26/05/2011;24.13
27/05/2011;23.44
30/05/2011;#N/A
31/05/2011;23.53
01/06/2011;25.51
02/06/2011;25.41
03/06/2011;25.28
06/06/2011;27.31
07/06/2011;26.42
08/06/2011;26.97
09/06/2011;25
10/06/2011;26.93
13/06/2011;28.15
14/06/2011;26.13
15/06/2011;29.06
16/06/2011;30.12
17/06/2011;29.46
20/06/2011;28.08
21/06/2011;25.57
22/06/2011;25.45
23/06/2011;26.36
24/06/2011;28.25
27/06/2011;27.84
28/06/2011;25.91
29/06/2011;25.01
30/06/2011;23.44
01/07/2011;22.8
04/07/2011;#N/A
05/07/2011;23.37
06/07/2011;24
07/07/2011;23.4
08/07/2011;23.58
11/07/2011;25.25
12/07/2011;26.17
13/07/2011;25.25
14/07/2011;27.32
15/07/2011;26.15
18/07/2011;27.34
19/07/2011;24.83
20/07/2011;24.92
21/07/2011;24.22
22/07/2011;25.21
25/07/2011;26.47
26/07/2011;26.49
27/07/2011;27.93
28/07/2011;29.18
29/07/2011;30.17
01/08/2011;29.19
02/08/2011;30.22
03/08/2011;29.53
04/08/2011;39.17
05/08/2011;40.47
08/08/2011;52.04
09/08/2011;44.05
10/08/2011;49.17
11/08/2011;45.66
12/08/2011;42.61
15/08/2011;38.14
16/08/2011;39.36
17/08/2011;37.46
18/08/2011;47.17
19/08/2011;47.96
22/08/2011;48.53
23/08/2011;42.97
24/08/2011;42.58
25/08/2011;46.04
26/08/2011;42.4
29/08/2011;39.55
30/08/2011;39.13
31/08/2011;39.29
01/09/2011;39.13
02/09/2011;41.36
05/09/2011;#N/A
06/09/2011;45.77
07/09/2011;41.72
08/09/2011;42.74
09/09/2011;47.92
12/09/2011;48.94
13/09/2011;46.36
14/09/2011;43.18
15/09/2011;39.37
16/09/2011;38.42
19/09/2011;41.59
20/09/2011;41.34
21/09/2011;44.66
22/09/2011;52.31
23/09/2011;53.19
26/09/2011;49.01
27/09/2011;48
28/09/2011;52.66
29/09/2011;51.3
30/09/2011;53.72
03/10/2011;57.47
04/10/2011;52.73
05/10/2011;48.03
06/10/2011;46.34
07/10/2011;47.21
10/10/2011;43.7
11/10/2011;42.84
12/10/2011;40.63
13/10/2011;39.91
14/10/2011;36.45
17/10/2011;42.31
18/10/2011;39.64
19/10/2011;42.86
20/10/2011;43.24
21/10/2011;40.07
24/10/2011;37.53
25/10/2011;41.18
26/10/2011;37.95
27/10/2011;34.33
28/10/2011;32.61
31/10/2011;39
01/11/2011;45.62
02/11/2011;42.71
03/11/2011;39.76
04/11/2011;39.68
07/11/2011;39.8
08/11/2011;37.29
09/11/2011;44.45
10/11/2011;42.08
11/11/2011;38.6
14/11/2011;40.81
15/11/2011;40.81
16/11/2011;41.87
17/11/2011;43.83
18/11/2011;41.26
21/11/2011;41.66
22/11/2011;40.32
23/11/2011;43.07
24/11/2011;#N/A
25/11/2011;44.33
28/11/2011;41.68
29/11/2011;39.51
30/11/2011;36.19
01/12/2011;36.33
02/12/2011;36.23
05/12/2011;36
06/12/2011;35.56
07/12/2011;36.57
08/12/2011;38.58
09/12/2011;34.64
12/12/2011;34.63
13/12/2011;34.6
14/12/2011;36.6
15/12/2011;35.1
16/12/2011;33.18
19/12/2011;33.58
20/12/2011;30.12
