Date;VIX
01/06/2010;44.97
02/06/2010;43.26
03/06/2010;40.29
04/06/2010;45.4
07/06/2010;47.77
08/06/2010;47.14
09/06/2010;47.41
10/06/2010;43.04
11/06/2010;40.18
14/06/2010;41.08
15/06/2010;37.59
16/06/2010;37.26
17/06/2010;38.01
18/06/2010;37.98
21/06/2010;38.97
22/06/2010;39.5
23/06/2010;42.02
24/06/2010;43.28
25/06/2010;42.16
28/06/2010;42.86
29/06/2010;48.61
30/06/2010;49.24
01/07/2010;49.61
02/07/2010;47.17
05/07/2010;#N/A
06/07/2010;47.61
07/07/2010;43.6
08/07/2010;43.66
09/07/2010;42.45
12/07/2010;41.92
13/07/2010;43.71
14/07/2010;44.1
15/07/2010;46.07
16/07/2010;45.11
19/07/2010;45.27
20/07/2010;41.96
21/07/2010;35.84
22/07/2010;33.09
23/07/2010;31.24
26/07/2010;31.07
27/07/2010;30.95
28/07/2010;30.51
29/07/2010;30.9
30/07/2010;31.57
02/08/2010;30.22
03/08/2010;29.94
04/08/2010;30.14
05/08/2010;30.47
06/08/2010;29.85
09/08/2010;29.88
10/08/2010;29.88
11/08/2010;33.47
12/08/2010;33.28
13/08/2010;33.13
16/08/2010;32.43
17/08/2010;31.67
18/08/2010;31.62
19/08/2010;32.45
20/08/2010;31.49
23/08/2010;33.69
24/08/2010;36.32
25/08/2010;36.6
26/08/2010;35.97
27/08/2010;34.65
30/08/2010;35.25
31/08/2010;34.61
01/09/2010;31.14
02/09/2010;29.86
03/09/2010;28.62
06/09/2010;#N/A
07/09/2010;31.17
08/09/2010;30.78
09/09/2010;30.8
10/09/2010;30.82
13/09/2010;29.81
14/09/2010;29.4
15/09/2010;29.51
16/09/2010;31.15
17/09/2010;31.05
20/09/2010;31.54
21/09/2010;32.43
22/09/2010;33.07
23/09/2010;34.17
24/09/2010;34.25
27/09/2010;34.68
28/09/2010;35.38
29/09/2010;35.48
30/09/2010;35.92
01/10/2010;35.57
04/10/2010;36.5
05/10/2010;36.13
06/10/2010;36.52
07/10/2010;36.28
08/10/2010;36.03
11/10/2010;36.89
12/10/2010;36
13/10/2010;35.93
14/10/2010;36.45
15/10/2010;42.34
18/10/2010;45.44
19/10/2010;33.75
20/10/2010;30.19
21/10/2010;29.26
22/10/2010;29.11
25/10/2010;29.19
26/10/2010;29.71
27/10/2010;30.31
28/10/2010;30.94
29/10/2010;32.58
01/11/2010;32.03
02/11/2010;31.66
03/11/2010;29.97
04/11/2010;29.75
05/11/2010;30.89
08/11/2010;30.61
09/11/2010;29.42
10/11/2010;28.89
11/11/2010;30.55
12/11/2010;33.87
15/11/2010;33.13
16/11/2010;33.41
17/11/2010;32.97
18/11/2010;30.01
19/11/2010;30.58
22/11/2010;30.03
23/11/2010;32.85
24/11/2010;30.69
25/11/2010;#N/A
26/11/2010;31.91
29/11/2010;33.05
30/11/2010;35.24
01/12/2010;31.74
02/12/2010;30.71
03/12/2010;29.41
06/12/2010;29.56
07/12/2010;29.25
08/12/2010;28.6
09/12/2010;28.81
10/12/2010;28.98
13/12/2010;27.06
14/12/2010;25.08
15/12/2010;24.95
16/12/2010;25.12
17/12/2010;25.2
20/12/2010;25.7
21/12/2010;25.52
22/12/2010;26.3
23/12/2010;26.84
24/12/2010;#N/A
27/12/2010;32.42
28/12/2010;32.77
29/12/2010;31.96
30/12/2010;32.35
31/12/2010;34.29
03/01/2011;32.73
04/01/2011;32.49
05/01/2011;31.83
06/01/2011;31.92
07/01/2011;31.57
10/01/2011;32.7
11/01/2011;31.77
12/01/2011;30.16
13/01/2011;30.45
14/01/2011;29.75
17/01/2011;#N/A
18/01/2011;34.26
19/01/2011;29.27
20/01/2011;28.79
21/01/2011;31.03
24/01/2011;28.84
25/01/2011;27.96
26/01/2011;26.77
27/01/2011;26.53
28/01/2011;28.73
31/01/2011;27.43
01/02/2011;25.17
02/02/2011;25.15
03/02/2011;25.11
04/02/2011;24.2
07/02/2011;24.45
08/02/2011;23.88
09/02/2011;24.51
10/02/2011;26.02
11/02/2011;24.64
14/02/2011;23.94
15/02/2011;23.58
16/02/2011;23.12
17/02/2011;27.23
18/02/2011;31.71
21/02/2011;#N/A
22/02/2011;36.82
23/02/2011;34.09
24/02/2011;33.31
25/02/2011;31.06
28/02/2011;30.76
01/03/2011;32.24
02/03/2011;29.75
03/03/2011;26.89
04/03/2011;28.12
07/03/2011;30.45
08/03/2011;28.97
09/03/2011;29.09
10/03/2011;31.39
11/03/2011;29.81
14/03/2011;30.13
15/03/2011;32.78
16/03/2011;42.62
17/03/2011;39.72
18/03/2011;38.32
21/03/2011;33.65
22/03/2011;32.09
23/03/2011;31.74
24/03/2011;29.63
25/03/2011;29.41
28/03/2011;31.02
29/03/2011;30.56
30/03/2011;30.14
31/03/2011;30.24
01/04/2011;30.54
04/04/2011;31.55
05/04/2011;31.07
06/04/2011;31.5
07/04/2011;31.35
08/04/2011;30.87
11/04/2011;32.14
12/04/2011;32.99
13/04/2011;32.27
14/04/2011;32.36
15/04/2011;32.67
18/04/2011;33.61
19/04/2011;29.94
20/04/2011;29.32
21/04/2011;23.45
22/04/2011;#N/A
25/04/2011;23.37
26/04/2011;23.02
27/04/2011;23.13
28/04/2011;23.61
29/04/2011;24.55
02/05/2011;24.8
03/05/2011;24.91
04/05/2011;24.83
05/05/2011;25.36
06/05/2011;24.67
09/05/2011;24.27
10/05/2011;22.83
11/05/2011;23.79
12/05/2011;23.27
