Date;VIX
14/09/2016;22.84
15/09/2016;20.71
16/09/2016;11.17
19/09/2016;15.24
20/09/2016;15.66
21/09/2016;15.62
22/09/2016;15.9
23/09/2016;16.4
26/09/2016;19.33
27/09/2016;19.12
28/09/2016;19.47
29/09/2016;20.41
30/09/2016;20.02
03/10/2016;22.51
04/10/2016;22.87
05/10/2016;23.53
06/10/2016;23.78
07/10/2016;23.5
10/10/2016;24.99
11/10/2016;26.24
12/10/2016;25.51
13/10/2016;26.33
14/10/2016;25.78
17/10/2016;27.67
18/10/2016;29.08
19/10/2016;29.44
20/10/2016;28.68
21/10/2016;28.45
24/10/2016;26.79
25/10/2016;27.92
26/10/2016;28.44
27/10/2016;25.22
28/10/2016;19.36
31/10/2016;19.5
01/11/2016;20.27
02/11/2016;21.77
03/11/2016;22.03
04/11/2016;22.42
07/11/2016;20.29
08/11/2016;19.61
09/11/2016;19.11
10/11/2016;21.8
11/11/2016;21.71
14/11/2016;25.9
15/11/2016;22.9
16/11/2016;22.25
17/11/2016;21.14
18/11/2016;20.45
21/11/2016;18.28
22/11/2016;18.39
23/11/2016;18.9
24/11/2016;#N/A
25/11/2016;16.73
28/11/2016;19.42
29/11/2016;19.32
30/11/2016;20.2
01/12/2016;21.21
02/12/2016;20.84
05/12/2016;19.27
06/12/2016;19.34
07/12/2016;18.94
08/12/2016;18.24
09/12/2016;17.73
12/12/2016;14.09
13/12/2016;14.7
14/12/2016;16.19
15/12/2016;15.15
16/12/2016;14.76
19/12/2016;15.85
20/12/2016;16.21
21/12/2016;16.75
22/12/2016;17.52
23/12/2016;17.43
26/12/2016;#N/A
27/12/2016;19.99
28/12/2016;21.39
29/12/2016;22.01
30/12/2016;23.6
02/01/2017;#N/A
03/01/2017;24.22
04/01/2017;23.97
05/01/2017;24.18
06/01/2017;23.74
09/01/2017;25.14
10/01/2017;25.06
11/01/2017;24.78
12/01/2017;25.18
13/01/2017;25.06
16/01/2017;#N/A
17/01/2017;26.1
18/01/2017;24.78
19/01/2017;24.87
20/01/2017;23.01
23/01/2017;23.38
24/01/2017;22.61
25/01/2017;23.3
26/01/2017;24.4
27/01/2017;16.61
30/01/2017;19.09
31/01/2017;18.68
01/02/2017;18.58
02/02/2017;18.03
03/02/2017;16.47
06/02/2017;16.73
07/02/2017;15.7
08/02/2017;15.7
09/02/2017;14.9
10/02/2017;14.76
13/02/2017;15.05
14/02/2017;14.91
15/02/2017;15.13
16/02/2017;14.94
17/02/2017;14.32
20/02/2017;#N/A
21/02/2017;14.95
22/02/2017;14.64
23/02/2017;14.83
24/02/2017;14.94
27/02/2017;14.75
28/02/2017;15.71
01/03/2017;15.12
02/03/2017;15.45
03/03/2017;15.17
06/03/2017;15.7
07/03/2017;15.79
08/03/2017;16.35
09/03/2017;16.37
