Date;VIX
14/09/2016;26.73
15/09/2016;25.13
16/09/2016;25.63
19/09/2016;24.7
20/09/2016;24.87
21/09/2016;23.45
22/09/2016;23.08
23/09/2016;23.45
26/09/2016;25.51
27/09/2016;24.41
28/09/2016;24.62
29/09/2016;26.61
30/09/2016;25.47
03/10/2016;26.13
04/10/2016;27.14
05/10/2016;26.96
06/10/2016;26.96
07/10/2016;27.53
10/10/2016;26.43
11/10/2016;28.24
12/10/2016;28.2
13/10/2016;28.2
14/10/2016;27.93
17/10/2016;27.14
18/10/2016;20.83
19/10/2016;20.11
20/10/2016;19.58
21/10/2016;20.03
24/10/2016;18.78
25/10/2016;18.5
26/10/2016;18.63
27/10/2016;18
28/10/2016;19.64
31/10/2016;19.92
01/11/2016;20.87
02/11/2016;21.52
03/11/2016;22.58
04/11/2016;23.44
07/11/2016;20.91
08/11/2016;20.45
09/11/2016;19.37
10/11/2016;19.81
11/11/2016;19.54
14/11/2016;20.87
15/11/2016;20.51
16/11/2016;20.19
17/11/2016;19.14
18/11/2016;18.74
21/11/2016;17.89
22/11/2016;18.14
23/11/2016;18.31
24/11/2016;#N/A
25/11/2016;18.39
28/11/2016;19.07
29/11/2016;19.76
30/11/2016;20.43
01/12/2016;22.08
02/12/2016;21.93
05/12/2016;22.22
06/12/2016;21.67
07/12/2016;21.39
08/12/2016;22.2
09/12/2016;21.95
12/12/2016;23.62
13/12/2016;24.02
14/12/2016;24.44
15/12/2016;24.24
16/12/2016;23.2
19/12/2016;22.21
20/12/2016;21.91
21/12/2016;22.28
22/12/2016;23.57
23/12/2016;23.56
26/12/2016;#N/A
27/12/2016;23.9
28/12/2016;24.05
29/12/2016;23.73
30/12/2016;25.39
02/01/2017;#N/A
03/01/2017;25.51
04/01/2017;24.86
05/01/2017;24.86
06/01/2017;24.43
09/01/2017;24.83
10/01/2017;25.33
11/01/2017;25.13
12/01/2017;24.65
13/01/2017;24.87
16/01/2017;#N/A
17/01/2017;24.1
18/01/2017;24.31
19/01/2017;24.13
20/01/2017;16.98
23/01/2017;16.55
24/01/2017;17.82
25/01/2017;17.52
26/01/2017;17.52
27/01/2017;17.4
30/01/2017;18.43
31/01/2017;18.64
01/02/2017;18.18
02/02/2017;17.93
03/02/2017;17.19
06/02/2017;17.39
07/02/2017;16.95
08/02/2017;16.89
09/02/2017;16.48
10/02/2017;16.48
13/02/2017;16.31
14/02/2017;16.22
15/02/2017;16.47
16/02/2017;16.02
17/02/2017;16.07
20/02/2017;#N/A
21/02/2017;17.26
22/02/2017;17.38
23/02/2017;17.56
24/02/2017;17.64
27/02/2017;18.73
28/02/2017;18.82
01/03/2017;18.36
02/03/2017;18.45
03/03/2017;18.1
06/03/2017;19.09
07/03/2017;18.97
08/03/2017;18.87
09/03/2017;19.34
10/03/2017;19.3
13/03/2017;19.96
14/03/2017;20.18
15/03/2017;19.32
16/03/2017;18.99
17/03/2017;18.14
20/03/2017;17.66
21/03/2017;19.33
22/03/2017;19.35
23/03/2017;19.27
24/03/2017;19.47
27/03/2017;19.43
28/03/2017;19.33
29/03/2017;19.08
30/03/2017;18.78
31/03/2017;18.67
03/04/2017;19.3
04/04/2017;19.42
05/04/2017;20.41
06/04/2017;19.94
07/04/2017;20.48
10/04/2017;20.64
11/04/2017;21.33
12/04/2017;21.58
13/04/2017;21.31
14/04/2017;#N/A
17/04/2017;20.92
18/04/2017;22.23
19/04/2017;16.97
20/04/2017;16.1
21/04/2017;17.15
24/04/2017;14.52
25/04/2017;14.53
26/04/2017;14.61
27/04/2017;14.41
28/04/2017;14.06
01/05/2017;13.58
02/05/2017;13.86
03/05/2017;13.84
04/05/2017;13.82
05/05/2017;14.58
08/05/2017;15.57
09/05/2017;15.82
10/05/2017;15.51
11/05/2017;15.36
12/05/2017;15.39
15/05/2017;14.63
16/05/2017;15
17/05/2017;17.34
18/05/2017;17.16
19/05/2017;16.91
22/05/2017;16.18
23/05/2017;16.3
24/05/2017;16.41
25/05/2017;16.39
26/05/2017;16.55
29/05/2017;#N/A
30/05/2017;17.56
31/05/2017;17.85
01/06/2017;18.07
02/06/2017;17.88
05/06/2017;18.69
06/06/2017;18.76
07/06/2017;19.24
08/06/2017;19.2
09/06/2017;19.38
12/06/2017;20.66
13/06/2017;20.65
14/06/2017;20.61
15/06/2017;21.23
16/06/2017;19.82
19/06/2017;19.92
20/06/2017;20
21/06/2017;20.24
22/06/2017;19.95
23/06/2017;19.96
26/06/2017;20.28
27/06/2017;20.94
28/06/2017;20.57
29/06/2017;21.68
30/06/2017;21.11
03/07/2017;21.45
04/07/2017;#N/A
05/07/2017;22.41
06/07/2017;22.9
07/07/2017;22.65
10/07/2017;22.54
11/07/2017;22.91
12/07/2017;24.88
13/07/2017;23.72
14/07/2017;23.8
17/07/2017;23.79
18/07/2017;25.66
19/07/2017;17.26
20/07/2017;15.99
21/07/2017;16
24/07/2017;15.46
25/07/2017;15.16
26/07/2017;15.14
27/07/2017;15.53
28/07/2017;15.38
31/07/2017;16.78
01/08/2017;15.74
02/08/2017;16.04
03/08/2017;16.33
04/08/2017;15.78
07/08/2017;16.39
08/08/2017;16.51
09/08/2017;16.12
10/08/2017;17.59
11/08/2017;17.02
14/08/2017;14.36
15/08/2017;16.21
16/08/2017;15.19
17/08/2017;16.56
18/08/2017;17.05
21/08/2017;15.86
22/08/2017;16.11
23/08/2017;16.44
24/08/2017;17.09
25/08/2017;16.47
28/08/2017;17.54
29/08/2017;17.53
30/08/2017;17.74
31/08/2017;18.33
01/09/2017;18.15
04/09/2017;#N/A
05/09/2017;19.19
06/09/2017;20.05
07/09/2017;20.66
08/09/2017;21.61
11/09/2017;19.54
12/09/2017;20.95
13/09/2017;20.34
14/09/2017;21.11
15/09/2017;19.89
18/09/2017;20.62
19/09/2017;19.94
20/09/2017;20.34
21/09/2017;20.57
22/09/2017;20.1
25/09/2017;21.32
26/09/2017;22.09
27/09/2017;22.13
28/09/2017;21.8
29/09/2017;21.43
02/10/2017;21.5
03/10/2017;21.46
04/10/2017;21.13
05/10/2017;21.34
06/10/2017;21.82
09/10/2017;21.68
10/10/2017;21.42
11/10/2017;21.71
12/10/2017;21.71
13/10/2017;22.07
16/10/2017;22.33
17/10/2017;26.78
18/10/2017;18.98
19/10/2017;17.21
20/10/2017;15.28
23/10/2017;15.18
24/10/2017;17.11
25/10/2017;17.64
26/10/2017;17.96
27/10/2017;16.93
30/10/2017;17.68
31/10/2017;17.98
01/11/2017;17.4
02/11/2017;17.11
03/11/2017;17.24
06/11/2017;18.23
07/11/2017;18.21
08/11/2017;17.97
09/11/2017;17.77
10/11/2017;17.64
13/11/2017;17.32
14/11/2017;17.49
15/11/2017;17.59
16/11/2017;20.94
17/11/2017;16.97
20/11/2017;17.64
21/11/2017;16.2
22/11/2017;15.6
23/11/2017;#N/A
24/11/2017;16.49
27/11/2017;18.29
28/11/2017;18.15
29/11/2017;21.57
30/11/2017;20.76
01/12/2017;20.69
04/12/2017;22.75
05/12/2017;19.58
06/12/2017;21.57
07/12/2017;21.9
08/12/2017;22.19
11/12/2017;21.28
12/12/2017;22.47
13/12/2017;22.6
14/12/2017;21.49
15/12/2017;22.83
18/12/2017;22.81
19/12/2017;21.74
20/12/2017;22.34
21/12/2017;23.33
22/12/2017;21.72
25/12/2017;#N/A
26/12/2017;22.27
27/12/2017;22
28/12/2017;21.7
29/12/2017;22.71
01/01/2018;#N/A
02/01/2018;21.98
03/01/2018;25.79
04/01/2018;23.89
05/01/2018;27.79
08/01/2018;25.86
09/01/2018;25.74
10/01/2018;25.21
11/01/2018;25.41
12/01/2018;25.39
15/01/2018;#N/A
16/01/2018;27.82
17/01/2018;28.42
18/01/2018;27.85
19/01/2018;20.11
22/01/2018;20.12
23/01/2018;20.12
24/01/2018;20.12
25/01/2018;20.12
26/01/2018;20.12
29/01/2018;20.12
30/01/2018;20.12
31/01/2018;20.12
01/02/2018;20.12
02/02/2018;20.12
05/02/2018;20.12
06/02/2018;20.12
07/02/2018;20.12
08/02/2018;20.12
09/02/2018;20.12
12/02/2018;20.12
13/02/2018;20.12
14/02/2018;20.12
15/02/2018;20.12
16/02/2018;20.12
19/02/2018;#N/A
20/02/2018;20.12
21/02/2018;20.12
22/02/2018;20.12
23/02/2018;20.12
26/02/2018;21.04
27/02/2018;25.79
28/02/2018;23.06
01/03/2018;25.97
02/03/2018;25.39
05/03/2018;24.96
06/03/2018;26.01
07/03/2018;26.03
08/03/2018;27.59
09/03/2018;25.32
12/03/2018;25.42
13/03/2018;26.19
14/03/2018;26.64
15/03/2018;26.02
16/03/2018;24.99
19/03/2018;27.67
20/03/2018;26.82
21/03/2018;26.87
22/03/2018;29.85
23/03/2018;31.31
26/03/2018;28.79
27/03/2018;30.93
28/03/2018;31.63
29/03/2018;28.86
30/03/2018;#N/A
02/04/2018;33.13
03/04/2018;31.85
