Date;VIX
16/03/2011;38.09
17/03/2011;37.23
18/03/2011;33.64
21/03/2011;31.46
22/03/2011;31.34
23/03/2011;30.62
24/03/2011;30.78
25/03/2011;30.24
28/03/2011;30.36
29/03/2011;30.91
30/03/2011;29.76
31/03/2011;30.52
01/04/2011;30.07
04/04/2011;30.56
05/04/2011;31.41
06/04/2011;31.36
07/04/2011;31.72
08/04/2011;31.65
11/04/2011;32.47
12/04/2011;33.29
13/04/2011;31.96
14/04/2011;31.17
15/04/2011;31.45
18/04/2011;33.74
19/04/2011;31.12
20/04/2011;30.06
21/04/2011;29.93
22/04/2011;#N/A
25/04/2011;33.85
26/04/2011;32.53
27/04/2011;31.98
28/04/2011;32.34
29/04/2011;32.57
02/05/2011;35.84
03/05/2011;36.22
04/05/2011;36.04
05/05/2011;40.44
06/05/2011;37.75
09/05/2011;35.22
10/05/2011;33.91
11/05/2011;35.73
12/05/2011;36.51
13/05/2011;36.44
16/05/2011;37.31
17/05/2011;35.44
18/05/2011;33.94
19/05/2011;32.75
20/05/2011;33.57
23/05/2011;33.97
24/05/2011;32.14
25/05/2011;30.95
26/05/2011;29.63
27/05/2011;29.26
30/05/2011;#N/A
31/05/2011;30.07
01/06/2011;32.33
02/06/2011;31.23
03/06/2011;31.45
06/06/2011;33.38
07/06/2011;32.58
08/06/2011;33.55
09/06/2011;33
10/06/2011;34.39
13/06/2011;33.66
14/06/2011;32.26
15/06/2011;34.21
16/06/2011;36.94
17/06/2011;36.52
20/06/2011;33.14
21/06/2011;30.78
22/06/2011;30.28
23/06/2011;32.84
24/06/2011;33.66
27/06/2011;33.54
28/06/2011;32.99
29/06/2011;31.46
30/06/2011;29.62
01/07/2011;30.68
04/07/2011;#N/A
05/07/2011;30.87
06/07/2011;30.5
07/07/2011;28.91
08/07/2011;28.72
11/07/2011;30.52
12/07/2011;31.3
13/07/2011;30.9
14/07/2011;31.7
15/07/2011;30.43
18/07/2011;32.48
19/07/2011;31.75
20/07/2011;31.75
21/07/2011;31.13
22/07/2011;30.81
25/07/2011;32.52
26/07/2011;32.62
27/07/2011;34.61
28/07/2011;34.04
29/07/2011;35.59
01/08/2011;35.19
02/08/2011;36.28
03/08/2011;34.83
04/08/2011;42.82
05/08/2011;41.5
08/08/2011;51.62
09/08/2011;48.85
10/08/2011;51.46
11/08/2011;47.04
12/08/2011;41.78
15/08/2011;39.76
16/08/2011;40.22
17/08/2011;40.61
18/08/2011;44.71
19/08/2011;45.32
22/08/2011;44.58
23/08/2011;42.73
24/08/2011;43.96
25/08/2011;43.47
26/08/2011;40.25
29/08/2011;40.16
30/08/2011;39.35
31/08/2011;39.1
01/09/2011;38.15
02/09/2011;39.38
05/09/2011;#N/A
06/09/2011;41.54
07/09/2011;40.76
08/09/2011;39.9
09/09/2011;41.98
12/09/2011;45.47
13/09/2011;41.18
14/09/2011;41.37
15/09/2011;40.8
16/09/2011;36.91
19/09/2011;36.45
20/09/2011;37.99
21/09/2011;40.18
22/09/2011;47.98
23/09/2011;53.94
26/09/2011;51.77
27/09/2011;48.93
28/09/2011;53.52
29/09/2011;53.64
30/09/2011;53.38
03/10/2011;55.83
04/10/2011;56.5
05/10/2011;52.61
06/10/2011;51.32
07/10/2011;50.74
10/10/2011;48.72
11/10/2011;47.38
12/10/2011;44.35
13/10/2011;43.15
14/10/2011;41.82
17/10/2011;43.95
18/10/2011;42.91
19/10/2011;47.28
20/10/2011;48.51
21/10/2011;45.83
24/10/2011;43.3
25/10/2011;45.06
26/10/2011;42.96
27/10/2011;41.64
28/10/2011;40.93
31/10/2011;42.19
01/11/2011;46.28
02/11/2011;44.93
03/11/2011;42.01
04/11/2011;42.89
07/11/2011;42.64
08/11/2011;40.19
09/11/2011;44.17
10/11/2011;42.18
11/11/2011;39.18
14/11/2011;41.22
15/11/2011;41.18
16/11/2011;42.73
17/11/2011;43.37
18/11/2011;40.52
21/11/2011;43.18
22/11/2011;40.51
23/11/2011;40.68
24/11/2011;#N/A
25/11/2011;41.23
28/11/2011;39.97
29/11/2011;40.08
30/11/2011;39.81
01/12/2011;38.37
02/12/2011;39.4
05/12/2011;40.08
06/12/2011;39.9
07/12/2011;38.84
08/12/2011;41.81
09/12/2011;38.99
12/12/2011;39.46
13/12/2011;37.27
14/12/2011;42.36
15/12/2011;39.7
16/12/2011;36.59
19/12/2011;37.81
20/12/2011;34.68
21/12/2011;34.5
22/12/2011;34.31
23/12/2011;33.8
26/12/2011;#N/A
27/12/2011;35.67
28/12/2011;39.78
29/12/2011;39.07
30/12/2011;38.02
02/01/2012;#N/A
03/01/2012;35.9
04/01/2012;35.33
05/01/2012;34.74
06/01/2012;34.07
09/01/2012;33.51
10/01/2012;33.02
11/01/2012;33.76
12/01/2012;33.5
13/01/2012;32.81
16/01/2012;#N/A
17/01/2012;35.1
18/01/2012;33.8
19/01/2012;33.04
20/01/2012;30.98
23/01/2012;30.93
24/01/2012;30.61
25/01/2012;32.84
26/01/2012;32.94
27/01/2012;32.11
30/01/2012;32.93
31/01/2012;33.11
01/02/2012;31.18
02/02/2012;30.47
03/02/2012;32.27
