Market;Company;Ticker
JSE;4Sight Holdings Ltd.;4SI.JO
JSE;Anheuser-Busch InBev SA/NV;ANH.JO
JSE;Absa Group Ltd.;ABG.JO
JSE;Absa Bank Ltd.;ABSP.JO
JSE;Accelerate Property Fund Ltd.;APF.JO
JSE;ArcelorMittal South Africa Ltd.;ACL.JO
JSE;Acsion Ltd.;ACS.JO
JSE;Adapt IT Holdings Ltd.;ADI.JO
JSE;Adcock Ingram Holdings Ltd.;AIP.JO
JSE;Adcorp Holdings Ltd.;ADR.JO
JSE;Advanced Health Ltd.;AVL.JO
JSE;ADvTECH Ltd.;ADH.JO
JSE;AECI Ltd.;AFEP.JO
JSE;AECI Ltd.;AFE.JO
JSE;African Equity Empowerment Investments Ltd.;AEE.JO
JSE;African Dawn Capital Ltd.;ADW.JO
JSE;African and Overseas Enterprises Ltd.;AOVP.JO
JSE;African and Overseas Enterprises Ltd.;AON.JO
JSE;African and Overseas Enterprises Ltd.;AOO.JO
JSE;African Media Entertainment Ltd.;AME.JO
JSE;African Rainbow Capital Investments Ltd.;AIL.JO
JSE;Afrimat Ltd.;AFT.JO
JSE;AfroCentric Investment Corporation Ltd.;ACT.JO
JSE;AH-Vest Ltd.;AHL.JO
JSE;Alaris Holdings Ltd.;ALH.JO
JSE;Alexander Forbes Group Holdings Ltd.;AFH.JO
JSE;Alphamin Resources Corp.;APH.JO
JSE;Altron Ltd.;AEL.JO
JSE;Alviva Holdings Ltd.;AVV.JO
JSE;Anglo American Platinum Ltd.;AMS.JO
JSE;Anglo American plc;AGL.JO
JSE;AngloGold Ashanti Ltd.;ANG.JO
JSE;ARB Holdings Ltd.;ARH.JO
JSE;Argent Industrial Ltd.;ART.JO
JSE;African Rainbow Minerals Ltd.;ARI.JO
JSE;Arrowhead Properties Ltd.;AHB.JO
JSE;Arrowhead Properties Ltd.;AHA.JO
JSE;Ascendis Health Ltd.;ASC.JO
JSE;Aspen Pharmacare Holdings Ltd.;APN.JO
JSE;Astoria Investment Ltd.;ARA.JO
JSE;Astral Foods Ltd.;ARL.JO
JSE;Attacq Ltd.;ATT.JO
JSE;Aveng Ltd.;AEG.JO
JSE;AVI Ltd.;AVI.JO
JSE;AYO Technology Solutions Ltd.;AYO.JO
JSE;Balwin Properties Ltd.;BWN.JO
JSE;Barloworld Ltd.;BAW.JO
JSE;Basil Read Holdings Ltd.;BSR.JO
JSE;Bauba Resources Ltd.;BAU.JO
JSE;Bell Equipment Ltd.;BEL.JO
JSE;BHP Group plc;BHP.JO
JSE;Bid Corporation Ltd.;BID.JO
JSE;The Bidvest Group Ltd.;BVT.JO
JSE;Blue Label Telecoms Ltd.;BLU.JO
JSE;Bowler Metcalf Ltd.;BCF.JO
JSE;Brait PLC;BAT.JO
JSE;Brikor Ltd.;BIK.JO
JSE;Brimstone Investment Corporation Ltd.;BRT.JO
